date_time,temp,rain_1h,snow_1h,is_holiday
2016-01-01 00:00:00,265.94,0.0,0.0,1
2016-01-01 01:00:00,266.0,0.0,0.0,0
2016-01-01 03:00:00,266.01,0.0,0.0,0
2016-01-01 04:00:00,264.8,0.0,0.0,0
2016-01-01 05:00:00,264.38,0.0,0.0,0
2016-01-01 06:00:00,263.99,0.0,0.0,0
2016-01-01 07:00:00,264.16,0.0,0.0,0
2016-01-01 08:00:00,264.8,0.0,0.0,0
2016-01-01 09:00:00,265.76,0.0,0.0,0
2016-01-01 10:00:00,267.61,0.0,0.0,0
2016-01-01 12:00:00,269.43,0.0,0.0,0
2016-01-01 13:00:00,271.77,0.0,0.0,0
2016-01-01 14:00:00,271.98,0.0,0.0,0
2016-01-01 16:00:00,271.93,0.0,0.0,0
2016-01-01 18:00:00,269.4,0.0,0.0,0
2016-01-01 20:00:00,267.65,0.0,0.0,0
2016-01-01 21:00:00,266.52,0.0,0.0,0
2016-01-01 23:00:00,265.51,0.0,0.0,0
2016-01-02 01:00:00,264.87,0.0,0.0,0
2016-01-02 02:00:00,263.58,0.0,0.0,0
2016-01-02 03:00:00,263.76,0.0,0.0,0
2016-01-02 04:00:00,263.24,0.0,0.0,0
2016-01-02 05:00:00,263.09,0.0,0.0,0
2016-01-02 06:00:00,263.14,0.0,0.0,0
2016-01-02 07:00:00,263.39,0.0,0.0,0
2016-01-02 08:00:00,264.19,0.0,0.0,0
2016-01-02 09:00:00,264.99,0.0,0.0,0
2016-01-02 10:00:00,267.69,0.0,0.0,0
2016-01-02 12:00:00,269.82,0.0,0.0,0
2016-01-02 13:00:00,272.08,0.0,0.0,0
2016-01-02 15:00:00,272.57,0.0,0.0,0
2016-01-02 17:00:00,271.62,0.0,0.0,0
2016-01-02 19:00:00,269.96,0.0,0.0,0
2016-01-02 21:00:00,269.35,0.0,0.0,0
2016-01-02 22:00:00,269.15,0.0,0.0,0
2016-01-02 23:00:00,269.56,0.0,0.0,0
2016-01-03 00:00:00,269.89,0.0,0.0,0
2016-01-03 01:00:00,270.26,0.0,0.0,0
2016-01-03 03:00:00,270.24,0.0,0.0,0
2016-01-03 05:00:00,270.21,0.0,0.0,0
2016-01-03 07:00:00,270.11,0.0,0.0,0
2016-01-03 09:00:00,270.12,0.0,0.0,0
2016-01-03 11:00:00,270.68,0.0,0.0,0
2016-01-03 12:00:00,270.96,0.0,0.0,0
2016-01-03 14:00:00,270.98,0.0,0.0,0
2016-01-03 16:00:00,271.12,0.0,0.0,0
2016-01-03 18:00:00,270.21,0.0,0.0,0
2016-01-03 20:00:00,268.65,0.0,0.0,0
2016-01-03 22:00:00,267.3,0.0,0.0,0
2016-01-04 00:00:00,265.36,0.0,0.0,0
2016-01-04 02:00:00,263.51,0.0,0.0,0
2016-01-04 03:00:00,261.64,0.0,0.0,0
2016-01-04 05:00:00,260.54,0.0,0.0,0
2016-01-04 06:00:00,259.91,0.0,0.0,0
2016-01-04 07:00:00,259.25,0.0,0.0,0
2016-01-04 08:00:00,258.93,0.0,0.0,0
2016-01-04 09:00:00,261.23,0.0,0.0,0
2016-01-04 10:00:00,263.24,0.0,0.0,0
2016-01-04 11:00:00,265.88,0.0,0.0,0
2016-01-04 13:00:00,268.44,0.0,0.0,0
2016-01-04 15:00:00,268.68,0.0,0.0,0
2016-01-04 17:00:00,267.14,0.0,0.0,0
2016-01-04 19:00:00,265.74,0.0,0.0,0
2016-01-04 21:00:00,265.93,0.0,0.0,0
2016-01-04 22:00:00,266.26,0.0,0.0,0
2016-01-05 00:00:00,266.21,0.0,0.0,0
2016-01-05 01:00:00,266.66,0.0,0.0,0
2016-01-05 03:00:00,266.87,0.0,0.0,0
2016-01-05 05:00:00,268.43,0.0,0.0,0
2016-01-05 06:00:00,268.11,0.0,0.0,0
2016-01-05 07:00:00,267.86,0.0,0.0,0
2016-01-05 08:00:00,267.61,0.0,0.0,0
2016-01-05 09:00:00,268.29,0.0,0.0,0
2016-01-05 10:00:00,269.51,0.0,0.0,0
2016-01-05 12:00:00,271.28,0.0,0.0,0
2016-01-05 13:00:00,271.83,0.0,0.0,0
2016-01-05 14:00:00,271.9,0.0,0.0,0
2016-01-05 16:00:00,271.52,0.0,0.0,0
2016-01-05 18:00:00,270.18,0.0,0.0,0
2016-01-05 20:00:00,269.28,0.0,0.0,0
2016-01-05 22:00:00,269.59,0.0,0.0,0
2016-01-05 23:00:00,270.24,0.0,0.0,0
2016-01-06 00:00:00,270.7,0.0,0.0,0
2016-01-06 01:00:00,270.72,0.0,0.0,0
2016-01-06 02:00:00,270.85,0.0,0.0,0
2016-01-06 03:00:00,270.59,0.0,0.0,0
2016-01-06 04:00:00,269.84,0.0,0.0,0
2016-01-06 05:00:00,269.3,0.0,0.0,0
2016-01-06 06:00:00,269.53,0.0,0.0,0
2016-01-06 07:00:00,269.64,0.0,0.0,0
2016-01-06 09:00:00,269.84,0.0,0.0,0
2016-01-06 11:00:00,271.66,0.0,0.0,0
2016-01-06 12:00:00,272.56,0.0,0.0,0
2016-01-06 13:00:00,273.2,0.25,0.0,0
2016-01-06 15:00:00,273.41,0.0,0.0,0
2016-01-06 17:00:00,273.26,0.0,0.0,0
2016-01-06 19:00:00,272.65,0.0,0.0,0
2016-01-06 21:00:00,272.47,0.0,0.25,0
2016-01-06 23:00:00,272.39,0.0,0.0,0
2016-01-07 00:00:00,272.54,0.0,0.0,0
2016-01-07 01:00:00,272.49,0.0,0.0,0
2016-01-07 02:00:00,272.54,0.0,0.0,0
2016-01-07 03:00:00,272.49,0.0,0.0,0
2016-01-07 04:00:00,272.49,0.0,0.0,0
2016-01-07 05:00:00,272.54,0.0,0.0,0
2016-01-07 07:00:00,272.59,0.0,0.0,0
2016-01-07 09:00:00,272.68,0.0,0.0,0
2016-01-07 11:00:00,273.35,0.0,0.0,0
2016-01-07 12:00:00,273.74,0.0,0.06,0
2016-01-07 13:00:00,273.74,0.0,0.0,0
2016-01-07 15:00:00,273.8,0.0,0.06,0
2016-01-07 16:00:00,273.74,0.0,0.13,0
2016-01-07 19:00:00,273.68,0.0,0.0,0
2016-01-07 21:00:00,273.54,0.0,0.0,0
2016-01-07 23:00:00,273.52,0.0,0.1,0
2016-01-08 00:00:00,273.35,0.0,0.06,0
2016-01-08 01:00:00,273.28,0.0,0.17,0
2016-01-08 03:00:00,273.22,0.0,0.08,0
2016-01-08 04:00:00,273.02,0.0,0.0,0
